Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
Ovolo Nishi,City Centre,Canberra,5,8.2,hotelhotel,745
"Midnight Hotel, Autograph Collection",City Centre,Canberra,5,8.6,midnight-autograph-collection,1486
Hotel Realm,,Canberra,5,8.6,realm,2602
Nishi Apartments Eco Living by Ovolo,City Centre,Canberra,5,7.9,design-icon-apartments-at-newacton,319
Hyatt Hotel Canberra - A Park Hyatt Hotel,,Canberra,5,8.6,hyatt-canberra,1547
Capital Executive Apartment Hotel,City Centre,Canberra,4,7.1,capital-excutive-apartment,4738
Novotel Canberra,City Centre,Canberra,4,7.0,canberra,3042
QT Canberra,City Centre,Canberra,4.5,7.9,rydges-lakeside-canberra,3427
Pacific Suites Canberra,City Centre,Canberra,4,7.7,clifton-on-northbourne-quality-suites,2373
Rydges Canberra,,Canberra,4,7.6,rydges-capital-hill-canberra,2175
Little National Hotel Canberra,,Canberra,4.5,8.7,little-national,2276
Pinnacle Apartments,,Canberra,4,8.2,pinnacle-apartments,2061
"Garden City Hotel, Best Western Signature Collection",,Canberra,4,8.0,garden-city-motel-canberra,1455
Avenue Hotel Canberra,City Centre,Canberra,4.5,8.9,avenue-canberra,2686
Burbury Hotel,,Canberra,4.5,8.4,burbury,2413
Pavilion On Northbourne,,Canberra,4,8.0,pavilion-on-northbourne,3446
A by Adina Canberra,City Centre,Canberra,4.5,9.0,a-by-adina-canberra,576
The Sebel Canberra Civic,City Centre,Canberra,4,8.3,the-sebel-canberra,2674
Brassey Hotel - Managed by Doma Hotels,,Canberra,4,8.3,the-brassey-of-canberra,2040
Quality Hotel Dickson,,Canberra,4,8.3,quality-dickson,1436
Vibe Hotel Canberra,,Canberra,4,8.4,vibe-canberra-airport,2936
Mercure Canberra Belconnen,,Canberra,4,8.7,mercure-canberra-belconnen,1330
Quest Canberra City Walk,City Centre,Canberra,4.5,8.7,quest-canberra-city-walk,1612
Mantra MacArthur Hotel,,Canberra,4,8.3,mantra-macarthur,1359
Knightsbridge Canberra,,Canberra,4,8.8,knightsbridge-canberra,1154
Knightsbridge Canberra,,Canberra,4,8.8,knightsbridge-canberra,1154
CityStyle Executive Apartments,City Centre,Canberra,4,8.3,citystyle-executive-apartments,512
Mercure Canberra,,Canberra,4,7.7,all-seasons-olims-canberra,1650
Adina Serviced Apartments Canberra Dickson,,Canberra,4.5,8.3,aria-canberra,1443
Adina Serviced Apartments Canberra James Court,City Centre,Canberra,4,7.6,medina-executive-james-court,1632
ibis Styles Canberra Tall Trees,,Canberra,4,7.6,best-western-tall-trees-motel,1399
ibis Styles Canberra Eagle Hawk,,Canberra,4,7.2,rydges-eagle-hawk-resort,1537
Nesuto Canberra,City Centre,Canberra,4,7.6,nesuto-canberra,1140
Peppers Gallery Hotel,City Centre,Canberra,4,7.9,peppers-gallery-hotel-canberra,784
Hotel Kurrajong Canberra,,Canberra,4.5,8.4,kurrajong-canberra,1743
Ramada Encore Belconnen Canberra,,Canberra,4,7.7,belconnen-premier-inn,950
Ramada Diplomat Canberra,,Canberra,4,8.0,diplomat-griffith,1134
East Hotel and Apartments,,Canberra,4.5,8.9,east,987
Abode Belconnen,,Canberra,4,8.3,abode-belconnen,1438
Canberra Rex Hotel,,Canberra,4.5,8.4,the-rex,3706
ibis Styles Canberra,,Canberra,4,6.6,styles-canberra,2593
BreakFree Capital Tower Apartments,City Centre,Canberra,4,7.6,breakfree-capital-tower-apartments,869
Abode Woden,,Canberra,4.5,8.4,abode-woden,2247
Mantra on Northbourne,City Centre,Canberra,4,7.4,mantra-on-northbourne,1213
Manuka Park Serviced Apartments,,Canberra,4,8.5,manuka-park-serviced-apartments,848
Abode Gungahlin,,Canberra,4,8.2,abode-the-apartment,1369
Abode Kingston,,Canberra,4,8.2,abode-kingston,990
Abode Tuggeranong,,Canberra,4,8.1,abode-tuggeraning,877
Abode Narrabundah,,Canberra,4,8.3,abode-narrabundah,1528
Hotel Kurrajong Canberra,,Canberra,4.5,8.4,kurrajong-canberra,1743
Ramada Encore Belconnen Canberra,,Canberra,4,7.7,belconnen-premier-inn,950
One of a Kind Apartments,,Canberra,4,8.8,one-of-a-kind-apartments,102
Ramada Diplomat Canberra,,Canberra,4,8.0,diplomat-griffith,1134
Forrest Hotel & Apartments,,Canberra,3.5,7.6,forrest-apartments,4761
ibis Budget Canberra,,Canberra,3,7.3,formule-1-canebrra,2331
Adina Serviced Apartments Canberra Kingston,,Canberra,3.5,8.3,medina-classic-canberra,403
Canberra Parklands Central Apartment Hotel,,Canberra,3.5,7.4,parklands-apartment,1287
Canberra Short Term and Holiday Accommodation,,Canberra,3,7.2,canberra-short-term-holiday-accommodation,185
Belconnen Way Hotel & Serviced Apartments,,Canberra,3,7.6,belconnen-way-motel-and-serviced-arartments,1038
Canberra Accommodation Centre,,Canberra,3,7.6,canberra-accommodation-centre,133
