Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
"The Beachcomber Hotel & Resort, Ascend Hotel Collection",,Toukley,5,8.5,the-beachcomber-toukley1,409
Seranin | Gordon,,Pymble,5,7.4,seranin,382
The William Inglis Mgallery By Sofitel,,Warwick Farm,5,9.0,the-william-inglis-mgallery-by-sofitel,574
Sydney Harbour YHA,Sydney CBD,Sydney,5,8.7,sydney-harbour-yha,1658
Sydney Central YHA,Sydney CBD,Sydney,5,8.2,sydney-central-yha,1335
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5,8.7,meriton-suites-sussex-street,3799
Stamford Plaza Sydney Airport Hotel & Conference Centre,Mascot,Sydney,5,7.9,stamford-plaza-sydney-airport,2502
Jervis Bay Blue - Vincentia,,Vincentia,5,9.8,jervis-bay-blue-vincentia,51
Hyatt Regency Sydney,Sydney CBD,Sydney,5,8.3,hyatt-regency-sydney,6172
Radisson Blu Plaza Hotel Sydney,Sydney CBD,Sydney,5,9.0,radisson-plaza-sydney,2772
Little National Hotel Sydney,Sydney CBD,Sydney,5,9.3,little-national-sydney-sydney,1984
Amora Hotel Jamison Sydney,Sydney CBD,Sydney,5,8.5,amora-jamison-sydney,3399
Sofitel Sydney Darling Harbour,Sydney CBD,Sydney,5,8.7,sofitel-sydney-darling-harbour,5306
Chateau Elan At The Vintage,,Pokolbin,5,8.4,chateau-elan-at-the-vintage-hunter-valley,2565
Wake Up! Sydney Central,Sydney CBD,Sydney,5,8.6,wake-up-sydney-central,1194
SKYE Suites Sydney,Sydney CBD,Sydney,5,8.9,skye-suites-sydney,1764
Sir Stamford Circular Quay,Sydney CBD,Sydney,5,8.7,sir-stamford-circular-quay,2295
Sofitel Sydney Wentworth,Sydney CBD,Sydney,5,7.9,wentworth-sydney,632
Pullman Magenta Shores Resort,,The Entrance,5,7.9,quay-west-magenta-shores,857
SKYE Hotel Suites Parramatta,Parramatta,Sydney,5,8.6,skye-suites-parramatta,2122
Hilton Sydney,Sydney CBD,Sydney,5,8.2,hilton-sydney,2782
Swissotel Sydney,Sydney CBD,Sydney,5,8.6,swissotel-sydney,2865
The Fullerton Hotel Sydney,Sydney CBD,Sydney,5,8.9,fullerton-sydney,2788
QT Sydney,Sydney CBD,Sydney,5,9.0,qtsydney,2622
QT Sydney,Sydney CBD,Sydney,5,9.0,qtsydney,2622
Larmont Sydney by Lancemore,Potts Point,Sydney,5,8.6,larmont-sydney-by-lancemore,969
Sydney Harbour Marriott Hotel at Circular Quay,Sydney CBD,Sydney,5,8.4,sydney-habour-marriott,1342
Pullman Sydney Airport,Mascot,Sydney,5,8.7,pullman-sydney-airport,701
"InterContinental Sydney, an IHG Hotel",Sydney CBD,Sydney,5,8.3,intercontinental-sydney,2134
Four Seasons Hotel Sydney,Sydney CBD,Sydney,5,9.1,four-seasons-sydney,7962
SKYE Suites Green Square,Green Square,Sydney,5,9.0,skye-suites-green-square,971
The Sebel Quay West Suites Sydney,Sydney CBD,Sydney,5,8.7,quay-west-suites-sydney,1130
Sheraton Grand Sydney Hyde Park,Sydney CBD,Sydney,5,8.9,sheraton-on-the-park-sydney,1306
Pullman Sydney Hyde Park,Sydney CBD,Sydney,5,7.8,pullman-sydney-hyde-park,1026
Harbour Rocks Hotel Sydney – MGallery by Sofitel,Sydney CBD,Sydney,5,8.2,harbour-rocks,533
"Pier One Sydney Harbour, Autograph Collection",Sydney CBD,Sydney,5,8.7,autograph-collection-pier-one-sydney-harbour,1197
The Star Grand Hotel and Residences Sydney,Pyrmont,Sydney,5,8.7,the-star-grand-residences,3878
Hawkesbury Race Club Motel,,Windsor,5,9.2,hawkesbury-race-club-motel,607
Pullman Quay Grand Sydney Harbour,Sydney CBD,Sydney,5,8.5,quay-grand-suites-sydney,930
"Kimpton Margot Sydney, an IHG Hotel",Sydney CBD,Sydney,5,8.9,kimpton-margot-sydney,111
Medusa Hotel Sydney,Darlinghurst,Sydney,5,9.0,medusa-sydney,306
Spicers Potts Point,Potts Point,Sydney,5,9.4,spicers-potts-point,323
The Branksome Hotel & Residences,Mascot,Sydney,5,8.6,the-branksome-amp-residences,1680
The Old Clare Hotel,Sydney CBD,Sydney,5,8.9,the-old-clare,645
Crystalbrook Albion,Surry Hills,Sydney,5,9.3,little-albion-guest-house-surry-hills,459
"InterContinental Sydney Double Bay, an IHG Hotel",Double Bay,Sydney,5,8.2,intercontinental-sydney-double-bay,831
The Darling at The Star,Pyrmont,Sydney,5,9.1,the-darling,1638
QT Bondi,Bondi,Sydney,5,8.7,qt-bondi,884
28 Degrees Byron Bay - Adults Only,,Byron Bay,5,9.6,28o-byron-bay,168
"InterContinental Sydney Double Bay, an IHG Hotel",Double Bay,Sydney,5,8.2,intercontinental-sydney-double-bay,831
The Darling at The Star,Pyrmont,Sydney,5,9.1,the-darling,1638
QT Bondi,Bondi,Sydney,5,8.7,qt-bondi,884
28 Degrees Byron Bay - Adults Only,,Byron Bay,5,9.6,28o-byron-bay,168
The Langham Sydney,Sydney CBD,Sydney,5,9.4,the-observatory,660
Fraser Suites Sydney,Sydney CBD,Sydney,5,8.5,fraser-suites-sydney,1401
