Ovolo Woolloomooloo,Woolloomooloo,Sydney,5.0,9.0,blue-sydney-sydney,1144
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799
Four Seasons Hotel Sydney,Sydney CBD,Sydney,5.0,9.1,four-seasons-sydney,7961
Hyatt Regency Sydney,Sydney CBD,Sydney,5.0,8.3,hyatt-regency-sydney,6165
Sofitel Sydney Darling Harbour,Sydney CBD,Sydney,5.0,8.7,sofitel-sydney-darling-harbour,5306
The Star Grand Hotel and Residences Sydney,Pyrmont,Sydney,5.0,8.7,the-star-grand-residences,3878
SKYE Suites Sydney,Sydney CBD,Sydney,5.0,8.9,skye-suites-sydney,1764
Little National Hotel Sydney,Sydney CBD,Sydney,5.0,9.3,little-national-sydney-sydney,1981
The Darling at The Star,Pyrmont,Sydney,5.0,9.1,the-darling,1638
Sheraton Grand Sydney Hyde Park,Sydney CBD,Sydney,5.0,8.9,sheraton-on-the-park-sydney,1306
Amora Hotel Jamison Sydney,Sydney CBD,Sydney,5.0,8.5,amora-jamison-sydney,3399
Swissotel Sydney,Sydney CBD,Sydney,5.0,8.6,swissotel-sydney,2865
Bayswater Boutique Lodge,Rushcutters Bay,Sydney,5.0,7.8,the-bayswater-boutique-lodge,245
Hilton Sydney,Sydney CBD,Sydney,5.0,8.2,hilton-sydney,2780
The Fullerton Hotel Sydney,Sydney CBD,Sydney,5.0,8.9,fullerton-sydney,2782
"InterContinental Sydney Double Bay, an IHG Hotel",Double Bay,Sydney,5.0,8.2,intercontinental-sydney-double-bay,831
Sydney Harbour Marriott Hotel at Circular Quay,Sydney CBD,Sydney,5.0,8.4,sydney-habour-marriott,1342
Stamford Plaza Sydney Airport Hotel & Conference Centre,Mascot,Sydney,5.0,7.9,stamford-plaza-sydney-airport,2502
Sydney Harbour YHA,Sydney CBD,Sydney,5.0,8.7,sydney-harbour-yha,1658
Radisson Blu Plaza Hotel Sydney,Sydney CBD,Sydney,5.0,9.0,radisson-plaza-sydney,2772
QT Sydney,Sydney CBD,Sydney,5.0,9.0,qtsydney,2620
Fraser Suites Sydney,Sydney CBD,Sydney,5.0,8.5,fraser-suites-sydney,1401
"InterContinental Sydney, an IHG Hotel",Sydney CBD,Sydney,5.0,8.3,intercontinental-sydney,2132
"Pier One Sydney Harbour, Autograph Collection",Sydney CBD,Sydney,5.0,8.7,autograph-collection-pier-one-sydney-harbour,1194
Crystalbrook Albion,Surry Hills,Sydney,5.0,9.3,little-albion-guest-house-surry-hills,459
Sofitel Sydney Wentworth,Sydney CBD,Sydney,5.0,7.9,wentworth-sydney,631
Pullman Quay Grand Sydney Harbour,Sydney CBD,Sydney,5.0,8.5,quay-grand-suites-sydney,930
Adge Apartments,Surry Hills,Sydney,5.0,8.9,adge-apartment,185
SKYE Hotel Suites Parramatta,Parramatta,Sydney,5.0,8.6,skye-suites-parramatta,2122
Pullman Sydney Hyde Park,Sydney CBD,Sydney,5.0,7.8,pullman-sydney-hyde-park,1026
Larmont Sydney by Lancemore,Potts Point,Sydney,5.0,8.6,larmont-sydney-by-lancemore,969
Sir Stamford Circular Quay,Sydney CBD,Sydney,5.0,8.7,sir-stamford-circular-quay,2295
QT Bondi,Bondi,Sydney,5.0,8.7,qt-bondi,884
Zara Tower – Luxury Suites and Apartments,Sydney CBD,Sydney,5.0,8.6,zara-tower-serviced-apartments,604
"Kimpton Margot Sydney, an IHG Hotel",Sydney CBD,Sydney,5.0,8.9,kimpton-margot-sydney,111
The Old Clare Hotel,Sydney CBD,Sydney,5.0,8.9,the-old-clare,645
