"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Sam,United States,Studio Luxury Suite,4 nights,"
January","2020
", 10 ,Very large room in the center of town.,No view.,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ellie,Australia,One-Bedroom Suite - Disability Access,1 night,"
June","2022
", 8.0 ,Excellent shame parking isn’t included,A car space would have been good,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Pansy,Australia,One-Bedroom Suite - Disability Access,2 nights,"
June","2022
", 10 ,Staff were very welcoming & friendly.  I especially liked How your staff dealt with the fire alarm that went off at 11pm on Wednesday night.,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kathryn,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 8.0 ,"Great room size, wonderful amenities (kitchen, full size fridge, little sitting area)",I didn't realise there was no room service. This is difficult when you get in after a late flight!,en-us
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Ricardojames20,Australia,One Bedroom Darling Suite,5 nights,"
May","2022
", 10 ,Everything. Meriton suites would be the place to stay at. From the minute you check in to the moment you check out everything was a breeze. The views I had was phenomenal. Would highly recommend and stay here again.,"Nothing, everything was a charm.",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kennedy,Australia,One-Bedroom Suite - Disability Access,2 nights,"
June","2022
", 9.0 ,Spacious room in a great location. Coffee machine and GHD were an added bonus,Check in was a little slow,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Kathleen,Australia,Studio Luxury Suite,3 nights,"
May","2022
", 8.0 ,The location was pretty good for what we wanted - that is why we chose it.,Unfortunately didn't find much in the way of cafes near it.  The bathroom was small - The shower door was a nuisance - I think if they got rid of the shower door it would be better - it really wasn't needed.,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Saraya,Australia,Two-Bedroom Luxury Suite,2 nights,"
May","2022
", 8.0 ,Room is very spacious - what we needed and has a nice interior design + views are quite nice.,"The early check out time (we did get this extended however, but after a big night out, a check out time of 10am seems so early!!) The hotel doesn't offer any parking discounts either, so if you're staying during weekdays, it may cost you a fortune",en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Robbie,Australia,One-Bedroom Suite - Disability Access,2 nights,"
June","2022
", 7.5 ,Good size room and location,None,en
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5.0,8.7,meriton-suites-sussex-street,3799,Colin,Australia,Two-Bedroom Luxury Suite,3 nights,"
June","2022
", 8.0 ,Met my expectations and was central to the convention centre,Nil,en
